timestamp,id,bM,bH,t_total,t_QKD,t_verifications_total,t_single_verification,mode
2026-08-26_16-15-43,251106878,80,41,5.856027833069675,1.3731444159056991,0.003560582990758121,0.00032074993941932917,hwsim
2026-08-26_16-15-57,9466157,80,41,5.831163499969989,1.327977417036891,0.0033857920207083225,0.00027833401691168547,hwsim
2026-08-26_16-16-09,104227277,80,41,5.907350666937418,1.3086974169127643,0.00804870796855539,0.0003120000474154949,hwsim
2026-08-26_16-16-29,665599853,80,41,6.004862749949098,1.473056333954446,0.004596832906827331,0.00031687505543231964,hwsim
2026-08-26_16-16-41,391006661,80,41,6.178057958954014,1.320528541924432,0.002019957988522947,0.0003029590006917715,hwsim
2026-08-26_16-17-59,741601024,800,45,6.998940167017281,1.3393146669259295,0.0036870830226689577,0.0020877920323982835,hwsim
2026-08-26_16-18-30,145071777,800,45,6.133508624974638,1.3993141659302637,0.014848999911919236,0.0022432919358834624,hwsim
2026-08-26_16-18-47,258247981,800,45,5.924348833039403,1.3308474170044065,0.004214709042571485,0.0022492079297080636,hwsim
2026-08-26_16-19-00,877982318,800,45,6.018064417061396,1.320782499969937,0.004066458088345826,0.002286916016601026,hwsim
2026-08-26_16-19-13,786325642,800,45,6.177511916961521,1.3587521250592545,0.0038739589508622885,0.0021889579948037863,hwsim
2026-08-26_16-19-54,83382623,8000,48,5.1935538339894265,1.486146832932718,0.026375916902907193,0.02301325008738786,hwsim
2026-08-26_16-20-28,139339430,8000,48,5.918519041035324,1.3190942080691457,0.022858291980810463,0.020848750020377338,hwsim
2026-08-26_16-20-58,752998386,8000,48,6.109401124995202,1.4710351249668747,0.024677749956026673,0.021645959001034498,hwsim
2026-08-26_16-21-10,970324716,8000,48,7.038532749982551,1.3926686249906197,0.031008500023745,0.028737584012560546,hwsim
2026-08-26_16-21-38,489233217,8000,48,6.06108391599264,1.3375314578879625,0.023673249990679324,0.021711084060370922,hwsim
2026-08-26_16-22-09,87761915,80000,51,6.548822666052729,1.3220737499650568,0.21488241699989885,0.21288254100363702,hwsim
2026-08-26_16-22-22,971499750,80000,51,6.2530882499413565,1.3252236669650301,0.21785995899699628,0.21389937493950129,hwsim
2026-08-26_16-22-35,793079797,80000,51,6.296073624980636,1.3363497080281377,0.22310887498315424,0.22065791697241366,hwsim
2026-08-26_16-22-47,78032791,80000,51,6.495456415927038,1.3283272919943556,0.21493262494914234,0.21105749998241663,hwsim
2026-08-26_16-23-03,499963834,80000,51,6.448911375016905,1.5004799590678886,0.21966845798306167,0.21606000000610948,hwsim
2026-08-26_16-23-47,314696787,800000,55,9.784073707996868,1.4802178329555318,2.2651596249779686,2.254256625077687,hwsim
2026-08-26_16-24-08,580105294,800000,55,10.263734000036493,1.491345625021495,2.1644135829992592,2.159560624975711,hwsim
2026-08-26_16-24-26,999293374,800000,55,10.211734959040768,1.3494447499979287,2.282129833009094,2.2789897919865325,hwsim
2026-08-26_16-24-44,424405861,800000,55,10.557912125019357,1.483030124916695,2.20494083291851,2.201499250018969,hwsim
2026-08-26_16-25-02,726814464,800000,55,10.4766850839369,1.5172235000645742,2.2205725830281153,2.2149617089889944,hwsim
2026-08-26_16-25-28,653487793,8000000,58,49.981952833011746,1.3280719999456778,22.244339458062313,22.238284916966222,hwsim
2026-08-26_16-26-30,756842314,8000000,58,50.15079595800489,1.3442337919259444,22.22486708301585,22.216420709039085,hwsim
2026-08-26_16-27-29,161722488,8000000,58,49.90059058298357,1.5836419999832287,23.281716165947728,23.275542083079927,hwsim
2026-08-26_16-28-46,797244093,8000000,58,50.65189854102209,1.4366589159471914,22.199902165913954,22.193065291037783,hwsim
2026-08-26_16-29-52,702702999,8000000,58,52.569810208980925,1.5779525419929996,24.703905625035986,24.69728900003247,hwsim
2026-08-26_16-31-55,550987599,80000000,61,790.5951023329981,1.574080416932702,444.7270135830622,444.4350368330488,hwsim
2026-08-26_16-45-33,167533909,80000000,61,685.8470186250051,1.5082608329830691,441.50740100000985,441.4426162500167,hwsim
2026-08-26_16-59-47,300421187,80000000,61,1187.3941925419495,1.340775040909648,751.2017309580697,750.9865614590235,hwsim
2026-08-26_17-20-56,180428497,80000000,61,1160.1257341660094,1.344693582970649,714.1277430000482,713.8840488329297,hwsim
2026-08-26_19-02-59,419769864,80000000,61,697.1937453330029,1.488394792075269,382.07128362497315,381.8561578330118,hwsim
